match_id,rival,rival_confederation,peru_score,rival_score,peru_awarded_score,rival_awarded_score,result,shootout_result,awarded_result,tournament_name,tournament_type,official,stadium,city,country,elevation,peru_condition,coach,coach_nationality,date
M0549,Nigeria,CAF,1,0,1,0,W,,W,Amistoso,Amistoso,False,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,23/05/2012
M0550,Colombia,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,03/06/2012
M0551,Uruguay,CONMEBOL,2,4,2,4,L,,L,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,Sergio Markarián,Uruguay,10/06/2012
M0552,Costa Rica,CONCACAF,1,0,1,0,W,,W,Amistoso,Amistoso,False,Estadio Nacional de Costa Rica,San Jose,Costa Rica,1172,away,Sergio Markarián,Uruguay,15/08/2012
M0553,Venezuela,CONMEBOL,2,1,2,1,W,,W,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,07/09/2012
M0554,Argentina,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,11/09/2012
M0555,Bolivia,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Hernando Siles,La Paz,Bolivia,3625,away,Sergio Markarián,Uruguay,12/10/2012
M0556,Paraguay,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Defensores del Chaco,Asuncion,Paraguay,89,away,Sergio Markarián,Uruguay,16/10/2012
M0557,Honduras,CONCACAF,0,0,0,0,D,,D,Amistoso,Amistoso,False,Shell Energy Stadium,Houston,United States,13,neutral,Sergio Markarián,Uruguay,14/11/2012
M0558,Trinidad and Tobago,CONCACAF,2,0,2,0,W,,W,Amistoso,Amistoso,False,Ato Boldon Stadium,Couva,Trinidad and Tobago,47,away,Sergio Markarián,Uruguay,06/02/2013
M0559,Chile,CONMEBOL,1,0,1,0,W,,W,FIFA World Cup Qualifiers 2014,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,22/03/2013
M0560,Trinidad and Tobago,CONCACAF,3,0,3,0,W,,W,Amistoso,Amistoso,False,Estadio Nacional de Perú,Lima,Peru,154,home,Sergio Markarián,Uruguay,26/03/2013
M0561,Mexico,CONCACAF,0,0,0,0,D,,D,Amistoso,Amistoso,False,Candlestick Park,San Francisco,United States,16,neutral,Sergio Markarián,Uruguay,17/04/2013
M0562,Panama,CONCACAF,2,1,2,1,W,,W,Amistoso,Amistoso,False,Estadio Rommel Fernández,Panama City,Panama,2,away,Sergio Markarián,Uruguay,01/06/2013
