match_id,rival,rival_confederation,peru_score,rival_score,peru_awarded_score,rival_awarded_score,result,shootout_result,awarded_result,tournament_name,tournament_type,official,stadium,city,country,elevation,peru_condition,coach,coach_nationality,date
M0457,Chile,CONMEBOL,1,2,1,2,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Nacional de Chile,Santiago,Chile,520,away,Paulo Autuori,Brazil,09/09/2003
M0458,Brazil,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,Paulo Autuori,Brazil,16/11/2003
M0459,Ecuador,CONMEBOL,0,0,0,0,D,,D,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Olímpico Atahualpa,Quito,Ecuador,2850,away,Paulo Autuori,Brazil,19/11/2003
M0460,Spain,UEFA,1,2,1,2,L,,L,Amistoso,Amistoso,False,Estadio Olímpico Lluís Companys,Barcelona,Spain,13,away,Paulo Autuori,Brazil,18/02/2004
M0461,Colombia,CONMEBOL,0,2,0,2,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Paulo Autuori,Brazil,31/03/2004
M0462,Chile,CONMEBOL,1,1,1,1,D,,D,Amistoso,Amistoso,False,Estadio Regional de Antofagasta,Antofagasta,Chile,40,away,Paulo Autuori,Brazil,28/04/2004
M0463,Uruguay,CONMEBOL,3,1,3,1,W,,W,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Centenario (Montevideo),Montevideo,Uruguay,43,away,Paulo Autuori,Brazil,01/06/2004
M0464,Venezuela,CONMEBOL,0,0,0,0,D,,D,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Paulo Autuori,Brazil,06/06/2004
M0465,Argentina,CONMEBOL,1,2,1,2,L,,L,Amistoso,Amistoso,False,MetLife Stadium,East Rutherford,United States,1,neutral,Paulo Autuori,Brazil,30/06/2004
M0466,Bolivia,CONMEBOL,2,2,2,2,D,,D,Copa América 2004,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Paulo Autuori,Brazil,06/07/2004
M0467,Venezuela,CONMEBOL,3,1,3,1,W,,W,Copa América 2004,Copa América/Sudamericano,True,Estadio Nacional de Perú,Lima,Peru,154,home,Paulo Autuori,Brazil,09/07/2004
M0468,Colombia,CONMEBOL,2,2,2,2,D,,D,Copa América 2004,Copa América/Sudamericano,True,Estadio Mansiche,Trujillo,Peru,34,home,Paulo Autuori,Brazil,12/07/2004
M0469,Argentina,CONMEBOL,0,1,0,1,L,,L,Copa América 2004,Copa América/Sudamericano,True,Estadio Elías Aguirre,Chiclayo,Peru,27,home,Paulo Autuori,Brazil,17/07/2004
M0470,Argentina,CONMEBOL,1,3,1,3,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Monumental U,Lima,Peru,154,home,Paulo Autuori,Brazil,04/09/2004
M0471,Bolivia,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Hernando Siles,La Paz,Bolivia,3625,away,Paulo Autuori,Brazil,09/10/2004
M0472,Paraguay,CONMEBOL,1,1,1,1,D,,D,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Defensores del Chaco,Asuncion,Paraguay,89,away,Paulo Autuori,Brazil,13/10/2004
M0473,Chile,CONMEBOL,2,1,2,1,W,,W,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Paulo Autuori,Brazil,17/11/2004
M0474,Brazil,CONMEBOL,0,1,0,1,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estádio Serra Dourada,Goiania,Brazil,749,away,Paulo Autuori,Brazil,27/03/2005
M0475,Ecuador,CONMEBOL,2,2,2,2,D,,D,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Paulo Autuori,Brazil,30/03/2005
M0476,Japan,AFC,1,0,1,0,W,,W,Kirin Cup 2005,Kirin Cup,False,Denka Big Swan Stadium,Niigata,Japan,3,away,Freddy Ternero,Peru,22/05/2005
M0477,UAE,AFC,0,0,0,0,D,,D,Kirin Cup 2005,Kirin Cup,False,Toyota Stadium,Toyota,Japan,45,neutral,Freddy Ternero,Peru,24/05/2005
M0478,Colombia,CONMEBOL,0,5,0,5,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Metropolitano de Barranquilla,Barranquilla,Colombia,18,away,Freddy Ternero,Peru,04/06/2005
M0479,Uruguay,CONMEBOL,0,0,0,0,D,,D,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Nacional de Perú,Lima,Peru,154,home,Freddy Ternero,Peru,07/06/2005
M0480,Chile,CONMEBOL,3,1,3,1,W,,W,Amistoso,Amistoso,False,Estadio Jorge Basadre,Tacna,Peru,562,home,Freddy Ternero,Peru,17/08/2005
M0481,Venezuela,CONMEBOL,1,4,1,4,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio José Encarnación Romero,Maracaibo,Venezuela,15,away,Freddy Ternero,Peru,03/09/2005
M0482,Argentina,CONMEBOL,0,2,0,2,L,,L,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Monumental Antonio Vespucio Liberti,Buenos Aires,Argentina,25,away,Freddy Ternero,Peru,09/10/2005
M0483,Bolivia,CONMEBOL,4,1,4,1,W,,W,FIFA World Cup Qualifiers 2006,FIFA World Cup Qualifiers,True,Estadio Jorge Basadre,Tacna,Peru,562,home,Freddy Ternero,Peru,12/10/2005
M0484,Trinidad and Tobago,CONCACAF,1,1,1,1,D,,D,Amistoso,Amistoso,False,Hasely Crawford Stadium,Port of Spain,Trinidad and Tobago,3,away,Franco Navarro,Peru,10/05/2006
M0485,Panama,CONCACAF,0,2,0,2,L,,L,Amistoso,Amistoso,False,Estadio Nacional de Perú,Lima,Peru,154,home,Franco Navarro,Peru,16/08/2006
M0486,Ecuador,CONMEBOL,1,1,1,1,D,,D,Amistoso,Amistoso,False,MetLife Stadium,East Rutherford,United States,1,neutral,Franco Navarro,Peru,06/09/2006
M0487,Chile,CONMEBOL,2,3,2,3,L,,L,Copa del Pacífico 2006,Copa del Pacífico,False,Estadio Sausalito,Viña del Mar,Chile,2,away,Franco Navarro,Peru,07/10/2006
M0488,Chile,CONMEBOL,0,1,0,1,L,,L,Copa del Pacífico 2006,Copa del Pacífico,False,Estadio Jorge Basadre,Tacna,Peru,562,home,Franco Navarro,Peru,11/10/2006
M0489,Jamaica,CONCACAF,1,1,1,1,D,,D,Amistoso,Amistoso,False,National Stadium Kingston,Kingston,Jamaica,9,away,Franco Navarro,Peru,15/11/2006
M0490,Panama,CONCACAF,2,1,2,1,W,,W,Amistoso,Amistoso,False,Estadio Rommel Fernández,Panama City,Panama,2,away,Franco Navarro,Peru,19/11/2006
M0491,Japan,AFC,0,2,0,2,L,,L,Amistoso,Amistoso,False,International Stadium Yokohama,Yokohama,Japan,5,away,Julio César Uribe,Peru,24/03/2007
M0492,Ecuador,CONMEBOL,2,1,2,1,W,,W,Amistoso,Amistoso,False,Estadio Vicente Calderón,Madrid,Spain,657,neutral,Julio César Uribe,Peru,03/06/2007
M0493,Ecuador,CONMEBOL,0,2,0,2,L,,L,Amistoso,Amistoso,False,Miniestadi,Barcelona,Spain,13,neutral,Julio César Uribe,Peru,06/06/2007
